sentences,label
slowly adding some $fio here but gotta be careful. this will be one of biggest winners in 2012,0.459
$trx http://stks.co/1kkk long setup. macd cross.,0.438
i am not optimistic about $amzn both fundementals and charts look like poopoo this quarter.,-0.506
$grpn might be selling off ahead of $p earnings...,-0.202
$iaci http://stks.co/tju looks good on the weekly chart.,0.379
"$pcln back over ""up"" trendline from 10/4",0.308
rt @robbielolz $nflx a close above here is looking good for the bulls. will hold my positions to see where we close at. keep buying here.,0.578
profit taking on $aapl this morning?  that has to be the pressure on the stock.  i'm still bullish on $aapl.,0.222
$skx turning. coming from far could go far. stock price implies you pay nothing for the business,0.298
$mos looking good here at $58.65. calls are active in this month and weekly,0.492
"sold out $tza 45 $put (down $1), which were hedging my 45 $call. letting the calls ride solo now.",0.385
$ymi http://stks.co/xyf long setup. closed above the 20ma. macd cross. november catalyst.,0.444
$tzoo a close above 28.64 and we are ready to rock and roll,0.308
"i'm liking the price action in $swks, currently @21.80 ; my target: 24.00+ before year end.",0.603
$wft closng higher from here,0.48
$sppi..building rs. sweet. i want this to break a new 52week. the earnings growth justifies way higher,0.601
$spy bull move ended waiting for next setup,-0.204
double bottom with handle buy point of 29.51 $ip http://chart.ly/akvujxh,0.446
"$gld http://stks.co/jr8 daily chart - though rsi and stoch. point at a possible move up, there's a lot of resistance.",0.176
$acom http://stks.co/1g6x downside breakout looks to be coming soon.,-0.536
$zagg getting ready...target $15 plus on a close over $13.50 on better than avg daily volume http://chart.ly/lha44tn,0.385
volatility squeeze in $aapl. i hope it gets resolved to the upside,0.042
"still short $lng from $11.70 area...next stop could be down through $9.00. someone slammed it hard with 230,000 shs this am! more to follow",-0.543
covered my small $mww short @ 7.99 for a .16 loss. flat on the day. all cash now.,0.348
that bearish outside day tuesday is significant. 200 day resistance still intact. just my opinion $sds http://chart.ly/2bey48t,-0.39
"rt fitzstock2004: $iyt http://stks.co/1nbf the transports always lead  the way, and  they broke dt  line  1st, macd cross,  bull  flag=",0.594
$dug weekly stochastics finally starting to turn up after long consolidation. buying here.,0.702
$spy don't hang your bull hat yet. next week we will pop higher on qe3 hope on back of fed's 2 day meeting.,0.412
longed $amzn 300 @ 189.82,0.65
"$slw is down, but weekly $34 calls (-28.95%), .23 x .25 have 321 volume. worth a chance here, jmho: http://stks.co/1qfg",0.145
"$hsc receives 7-year, $50m contract at new saudi arabian steel mill",0.497
"reuters: green mountain revenue misses, shares plunge http://stks.co/13mw > $gmcr prints 43.80, market in a foul mood, bad day to disappoint",-0.668
"$xlf http://stks.co/1kj9 bounced off target buy area, bought $skf as a hedge. watch 50ma's slope",-0.299
$vxx adding to position here !,0.685
$gps gap september comparable store sales -4%,-0.441
double bottom with handle buy point of 56.49 $wmt http://chart.ly/ml857v3,0.654
$ma http://stks.co/1cyn continues to consolidate / base here,0.148
nasdaq sets up for breakout part ii | via @allstarcharts http://stks.co/15nv  $goog $amzn $qcom,0.396
$isrg trading at all-time high after strong earnings report with 4 days of short interest.,0.729
$utsi http://stks.co/15ur long setup. reported very good earnings.,0.63
here come the shorts marchin' in.  $gmcr.  lovin' it!,-0.522
$aapl news is becoming very bullish again http://stks.co/tmu,0.526
stole my tweet. really wouldn't be surprised if we took out 423 and pinned around it rt @totalguru we could possibly even see425 today $aapl,0.142
"$dpz broke out now of his bull flag channel and make new highs, but volume is very poor",0.369
$es_f. nice little cup-and-handle shaping up on the 15-minute. end-of-day $spy $spx favours a good day for the index. will we see a gap open,0.341
short more $faz for all who don't know that means markets will tank now :-p,-0.605
rt @alphatrends vmarkets are still acting weak http://stks.co/1agn  $spy $qqq $xlf $smh $iwm,-0.443
"fbr capital reiterated ""outperform"" rating on $brcm with a price target of $45.00 on friday.",0.521
$eln longs...congrats...another hod,0.445
"casinos red before the bell: $lvs -0.75%, $wynn -0.47%, $wynn -0.47% > unusual comibinations of what's running, what's red before the bell",-0.424
$tspt  long 8.00,0.499
$skh http://stks.co/163e long setup. watch for continuation and volume expansion here. hot sector.,0.622
looks like its booking a one way ticket to its 40 week ma near 50. losing 10 week here $lulu http://chart.ly/7xb9h9b,0.006
"rt @joemccann the correleation between the dollar index and $spy is simply amazing. $dx finds support, $spy retreats like clockwork",-0.312
$fio won't stay down,0.376
$aapl http://stks.co/1ldx clearing this descending trend line / buy area now,0.529
$rost nov 90 calls 2.08 .. go long until exp imo ! unless europeans keeps f'ing around !,0.414
i-grid shows $dia capped for the long term at range of 123.40- 124.77;any rally beyond today's levels or into this range leads to meltdown.,-0.172
"whats up with $lulu?  numbers looked good, not great, but good.  i think conference call will instill confidence.",0.011
"$zsl looking very weak, could be a good short setup.",-0.614
"@dlerch lol! $fmcn back under $17, darn those shorts! no chit sherlock!",-0.483
$mcp rolling over for a new intraday low. bottom pickers continue to get destroyed,-0.607
"ace limited, which has a 17 year dividend growth streak, plans a 33% dividend hike: http://stks.co/1bue $ace",0.455
"$aapl 50dma turned up, macd crossover a half-a-hair away on the weekly. eod break out likely.",0.498
$cien http://stks.co/dzu cien seems to have broken out of a major horizontal resistance. targets $14.35.,0.345
like $t for a breakout long as well. getting through the 100 and 200 ma could see it run.,0.655
my $dwa play up 6% today. i'm still skeptical. will take profits. not a time cheer,-0.088
$ibm staying strong,0.532
"$sina even though the ""report"" is untrue and has been proven unture, the damage is done. no one wants to touch it now",-0.55
"$amzn 4 period rsi is down at 20, just read connors book on trading strategies",0.221
$siga bid for reargument denied by judge,-0.354
"rt @andrewnyquist chartology: yahoo: http://stks.co/1itr $yhoo  crazy looking chart, but nearing breakout resistance line...",0.194
$cern - consolidating above 50 & 200 ma - nice long entry here w stop below 10 ma - targeting $70 area,0.443
$spy http://stks.co/1mir we're holding above wednesday and thursday closes. i'm leaning bullish. small postions. waiting.,0.316
$rdc rowan expands share repurchase program to $150 million,0.285
$nvda sideways,0.0
$hitk  resuming advance into new historical highs.,0.68
held its recent double bottom buy point of 56.57 almost to the penny today $wmt http://chart.ly/6nosp5q,0.198
$goog breakout very likely medium target $700+ http://stks.co/1lpz http://chart.ly/lgb94rr,0.518
rt @street_insider the steve jobs effect? apple $aapl first day iphone 4s sales were off the charts http://stks.co/yye,0.539
"that was quick, out $fio 21.35, market tanking, scaling down longs now",-0.497
$spy extreme win today - 2 cents above 2009  low on 10-year and $spy up 2 percent - life is a bowl of cherries - great short setting up $$,-0.406
$lnt increases annual dividend target to $1.80/share from $1.70/share,0.324
"rt @cash_cow $tlt still has a rising rsi & macd, all this bond buying is signaling some bad moves for the market. $spy $uup",-0.361
$idcc - $89 share total value of company after crunching #'s. the 4g technology is their diamond in the rough.,0.477
$mako hanging in well today. still in a basing pattern. have eyes on it,0.195
"rt @stockdemons think shorting here into close might be play, $spy - high beta reversing..looks worth a shot",-0.469
$tza is a rocket ship!!!,0.807
"lots of metal stocks look like a 5-10% run awaits. long $ssri,$paas and $nem but most high quality names should go if metal prices cooperate",0.394
$vxx starting to creep up while $spy sits near hod ...,0.141
$aapl i'm sure those short are holding their breath hoping for a miracle. lol,0.411
vivus $vvus bear raid in effect. stock down 12%,-0.57
looks like a big feb 18-22 $put spread on $cree.  last quarter 0% yoy rev growth trading @ 24x earnings.  i may try a short.,-0.352
$yelp wayyy overvalued right now imo. should be trading single digits. may take a short pos. into earnings. near term target 18 ......,-0.451
$renn topping tail 5 min. chart at 7.31 short from here.,-0.64
$spy weak close,-0.297
$znga http://stks.co/3rdu looking for a test at 9.25 resistance point. cc @ cfrazierjr @fletchtrade #traders,0.248
$efut hod  posted buy pm at $4.40,0.354
$aapl short some 592.49,-0.464
"@soullor the regular scrappy q $swy usually presents. sales weak, margins down, debt still way up.",-0.515
"$aapl taking out the shorts here, a punishing reminder not to spear the  strongest in the herd.",0.144
think $fms will challendge 200-ema in not distant future.   look at yesterday's volume,0.221
"rt @dasan @tmtanalyst ...since $aapl mastered their supply chain // in cornering nand, apple mastered everyone's supply chain!",0.461
$prlb hanging tough in down market due to analyst upgrades last week. up almost 3%.,0.394
$amrn it's accumulating. i think buy now or hold your peace. this should go up today/tomorrow.,0.469
$axp looking for continuation with volume increase http://stks.co/c8sr,0.308
mt @theacsman amazing seeing everyone suddenly touting $msft. long been favorite covered call & double dip dividend play.,0.444
surprising to see $jwn and $sks sales numbers still holding up so well. i guess the high end might not be a concern after all.,0.315
"ap: caterpillar posts 60 percent jump in 4q profit on steep global sales increase, tops wall st. view > $cat",0.586
$spy long 1/2 position 137.89,0.428
$aapl price momentum weakening going into the close.,-0.22
rt @acinvestorblog $aapl still on track for $500,0.166
$spy $mitk fast 56pc dive http://stks.co/3ffn $$,-0.26
$bac in for swing trade  looks like want go up,0.433
$pcln runs into the 50sma on the acquisition news,0.486
$aapl short term fund/redemption liquidations.. should have the channel cleared soon and on solid footing. $520 is new floor come july! :),-0.175
$wynn big bounce,0.61
$gld http://stks.co/44ow on closer inspection.  resistance 10 points north at 200d and downward trendline. chart 2 of 2.,-0.143
$aapl wants lower. up waves getting smaller on the 2 min,-0.37
short interest increases yet again http://stks.co/e19h via @ryandetrick $spy,-0.342
"$qcor a little pullback is fine but if this erases all of todays gains, i cannot believe the manipulation its capable of",-0.169
$wmt bullish with macd crossover with rsi and sto going up - above 73.4$ ma50 res. could run http://stks.co/ggcq,0.574
rival companies $gwr and watco eyeing $ra w take-over interest.  http://stks.co/o0xy,0.396
$aapl 620 resistance area,-0.025
what is up with $hk..... from jan to now it's been a sinking ship...,-0.573
"$wgo's bod was right to reject the offer. that company is low because of the economy, not because of any type of mismanagement or anything.",0.076
i'm no professional anal-yst but i do put my $ where my mouth is. $aapl will do $575 b4 yr.endÃ¢â‚¬â€that's another hun from here.long leaps =^.^=,0.579
"$aapl bounce right now has no vol, more vol when it slid",0.19
"$lulu http://stks.co/o17i bounced off support early in week - now indicators turning up (rsi, macd, smi) worth a look",0.351
$nihd insiders got this one wrong. looking for bottom. rsi under 30,-0.202
$aapl long 630.91,0.512
"it's a bad idea to make 5 min predictions based on faith: rt @dandyduct $aapl sell signal hit at 584, it will go down for the next 5 min",-0.445
$kcg bot at 2.24,0.384
$hznp havent seen vol like this since the runup. lets see one more dip to 2.0x,-0.274
pretty steady accumulation off support today.  purdy. $agu,0.464
out of shorts $altr at 38.85 with loss,0.372
"$gmcr with the way this has been acting, it may fall to 65 today, horrible action since it hit 70 yesterday",-0.51
$ebay had a nice breakout of the recent consolidation. congrats to those who had it. http://stks.co/2tad,0.452
"$sds +1.46% 15.32, picking up some speed. may 16 calls now +35% .19: http://stks.co/3eik, next week $16 calls .11c: http://stks.co/3eil",0.41
"$aapl aapl: gundlach slams ipad mini, sees downside to $425. http://stks.co/bdqv",-0.325
$aapl aug 645 calls +550% .67c: http://stks.co/i9t3,0.553
"went long on this $cog, will see 70's again me thinks",0.574
$aapl nibbling on a small long via 525.. buying off 13min charts..,0.509
added. cost now at 1.54. bounce off of put oi & s1 pivot. @moteltan bto $aapl apr 27 2012 605.0 calls @ 1.66 for ride to 609 ish.,0.47
"$wac trade continuing very nicely from yesterday, almost up $3 from yesterday entry, deal pricing tonight looking very strong here... $spy",0.495
equity indexes working on a positive engulfing for march. $sml $rut $iwc $smh $sox  small-caps / semis with a fakeout before the b/out.,0.308
$bone earnings stocks poised to pop http://stks.co/2zwe,0.432
$sonc amazing run since middle of march - obvious that the quality/tastiness of their burgers is not being factored into this price advance,0.492
$lee http://stks.co/24km lee ready to exit bankruptcy. strong volume today.,0.298
$rcon some upside today. this thing is severe low float. if there is catalyst for this guy. it can run.,0.254
$kitd looking for a oversold bounce.,0.436
$ppg descending triangle but i am liking it for an upside break http://stks.co/o9ny,0.201
$nsm ascending base breakout starting to gain traction; strong stock http://stks.co/gbsh,0.605
$aapl.  test the high today and probably go beyond after hours...,0.505
long $pcln,0.663
"$hlf shorts made a killing last couple days, might make more if cover and buy back?",-0.334
multi top on $mcd chart finally leads to a fall in price.  stability is questioned in the stock but coming weeks will tell.,-0.474
$mflx up  pre mkt. looks like gap has been filled....lookin 4 short opt here,-0.412
rt @jan $arna don't think buyout rumor strong enough too be driving this up just yet...when it is this may fly like aapl...// fly how high?,-0.02
$aapl right back in ... - buy the dips brought to you by cnbc. lol,0.346
$dmnd green and moving,0.477
$mtd (mettler-toledo) ready for a breakout,0.428
$acad under $2 today?,-0.164
$amzn breaking,0.251
$ea points to the two facebook games and accuses $znga of copyright infringement. http://stks.co/g3a1,-0.284
"$kgc http://stks.co/3qta oversold, falling wedge and positive divergence place it on the launch pad; looking for a bounce.",0.303
rt @bman1 $lng looks primed also $eght poised to run too...,0.381
$aapl broke descending channel....will it hold?,-0.07
$jnk http://stks.co/2fcm does not want to go down... risk appetite still high,0.272
"pnc, goldman sachs receive dividend hike green light (but don't act): http://stks.co/2pa7 $pnc $gs",0.316
$amd big dumping... would not touch it for a while,-0.699
$gnrc finding support at its 10-day line so far.,0.256
"loaded up on $bsx yesterday,looking good now. still think way more upside than downside.",0.664
"$qcor just added 3,000 shares @28.",0.73
"rt @stocktwits rt @fallondpicks breadth consolidates: after weeks of steady gains,advances in mkt breadth slowe... http://stks.co/2trg $qqq",-0.146
$aapl rejected the hod...should head lower. sitting on the sidelines for now.,-0.36
"google, inc. completes acquisition of icoa, inc. http://stks.co/nfei $icoa $goog",0.451
amazon declares 'best ever' black friday and cyber monday for kindle family http://stks.co/cetw via engadget $amzn,0.434
long $vvus shares as a call option w/ an expiration of..  umm.. today.    hitting hod here.,0.609
$isr- @isoray up 6% and high on volume http://stks.co/ifpo #biotech,0.612
$fb nice buyable intraday dip right here,0.492
$lscc accumulation chart continues to make new highs showing accumulation continuing to take place http://stks.co/adpo,0.497
$save breaking it's downtrend line on increasing volume. a move above 20.57 could see more upside. http://stks.co/l8y4,0.546
$goog resistance turned support?  it,0.34
$crm sep 40 calls are +35% since entry #bang http://stks.co/dedm,0.519
current holdings via options - long: $aapl $v $gs $aet & short: $vxx,0.635
$aapl i am big out from this. seems its falling towards 530.. :(,-0.639
$pkt momentum building for breakout trigger ! long setup http://stks.co/exvu,0.592
$nflx vision : short term consolidation then movement higher http://stks.co/j05uu,0.231
$uup at major resistance right now. can go much higher if it can break above. may take several attempts - few days to a week,0.171
$spy $vxx $aapl the parties over loaded on $uvxy volatility is back,-0.223
$brcm raises revenue forecast,0.367
$bbry bye bye sammy. hello bb. sounds like we'll see some green tomorrow.,0.395
$astx daily technical indicators are bullish. breakout watch over 4.58  http://stks.co/eovw,0.516
$edu bouncing nicely after add-on (posted),0.437
$yhoo a breakout above $29.83 would constitute a technical entry for the short term trader. http://stks.co/jkuf,0.389
bullish engulfing of coca cola: http://stks.co/fyco $ko,0.551
$iwm buy programs popping $iwm for close print cheap money means higher stock prices $spy robot buying,0.529
"$je looks like we are bouncing.  would be nice to finish over $6 today, and make the hammer.  nice volume from 5.77 bottom.  fingers crossed",0.391
$xlb the weakest sector this year and possible false breakout  http://stks.co/dl1z,-0.458
"$tyc just about to break out to new highs, lots of technicals looking great right now.",0.602
"$aapl at pivot area on intraday chart- break here could send this to 50-day sma, 457.80 http://stks.co/jpbn",0.128
"$brk.b $spy  all time high tomorrow? 150k on the a shares, dec 13, 2007.",0.297
$spy wouldn't be surprised to see a green close,0.416
@vegastrader66 looks like good entry for $qihu here.,0.453
$ino back in this am small post,0.554
"@harmongreg: $bbry wkly, inverse head and shoulders forming, triggers over 18.50, po at least 30.80, watching http://stks.co/ipvj",0.394
$line biggies must be loading up here at lows..,0.438
$gs is looking weak while this market is moving higher not a good sign. unless $gs can get above 157. early short below 154.00 today.,-0.398
key level to watch in $fb for today is 25.53-- watching to see if it can hold as support http://stks.co/boh4,-0.042
"$yndx and the price of some stocks was 2 times lower then annual earnings, i could not resist, i  was buying when everyone was selling",0.531
"red daily triangle on $shor,...scaling up on long position http://stks.co/r82s",0.661
@megaas2000 $aapl mcdonalds had a big growing success for years with the same bigmac and apple update and improbe iphone and ipad,0.295
ea launches origin online game distribution for mac http://stks.co/aktu via macrumors $ea,0.121
$etn upgrade today by ms to overweight.  excellent company and leadership,0.685
"$aapl double bottom could be in, keep in mind",0.271
@joerazorback this time i think $aapl will miss again. generally speaking market is near top when everyone thinks that market goes only up,-0.363
"$amrn full bull call spread ranging july to jan 15. lets see what this baby does,",0.681
$fb dax says bye bye 2013 - finished a great yr w 28% plus!,0.319
@ch_roark: $unxl i like this ascending triangle on the 30-minute chart. breakout coming monday! http://stks.co/at3glooks promising.,0.478
"@stocktwits: @kbkiwi: $tsla tesla model s sales exceed target, profitability guidance amended upward: http://stks.co/jq0w""""",0.526
"long position on $gol,...updating http://stks.co/fdmm",0.674
$smh got a sell signal on 6/4 and needs to take out 39.28 to go higher otherwise headed lower than 37.60 gap below at 35.38,-0.538
$osur up 33% since 6/25 buy signal. resistance 5.33 - expect 1. pullback 2nd half of day or 2. break abov 5.33 & continue rally for 4-5 days,0.552
$spy could the pride of social media be gettin ready to fall?  $fb - chart rolling over?,-0.287
$nflx +3% of the lows,0.323
$sbux getting sold here.,-0.551
$pg ackman making the big added efficiency argument. betting on operational imporvement in a huge conglomerate can go either way imo.,0.116
$rimm $spx $nya $compq $djia all going down,-0.559
"@ifhedieshedies: @bullhorn334: $znga shorts are getting nervous""""",0.366
$ocn has the stuff. will be looking to add shares if we get a new high breakout.,0.421
$bbry hearing rumours of a major joint venture announcement.,0.427
$aapl good time to buy. will the run come before earnings or after?,0.533
"$qihu totally missed this one, was about to jump in on that 60 break test but didn't, congrats shorts",-0.494
$uvxy put the chum out there at key support then next level down - careful,-0.32
entering long lockheed martin $lmt at thursday's open. http://stks.co/exta,0.627
@catskillfishing  note the monthly chart of $gdx & how it recaptured support. $gld possible double bottom set up. http://stks.co/aw6z,0.272
"key price to watch in $nflx, off the previous double top reject, 218.23 http://stks.co/siyn",-0.341
$spy tomorrow party time for the bears!! $goog and $msft -5.5%,-0.454
"$slv -4.44% at 18 now awful, down from 42.50",-0.591
$spy c'mon bulls buy dips!,0.228
@gakrum nice chart shows distinctive down channel not a dip.. where do you see the bottom? $spy ..$150? ..$130?,-0.443
$dxcm - making higher highs & higher lows as it consolidates over past several weeks. 26.70 was all time high (2006).,0.478
"#apple breaks major support, here are some levels to watch - http://stks.co/jrmw $aapl $qqq",-0.455
$crus upgraded to a buy by alpha street research,0.715
"$nflx small pos, short 180 wkly puts.",-0.597
$tsla i see more downside in next two weeks be careful -20 dollars drop potential vs +10 up moved,-0.477
$fb big money is pouring into facebook from all directions;http://stks.co/sowg,0.645
$lulu #outlook #q1 2013 #lost revenue in the range of $12 million to $17 million -not good,-0.43
@dojiknows th sp and the potential of qnx bes10 and bbm  cross platform will bring good news in time $bbry,0.284
$nugt longer term bullish,0.814
"2nd raise this year.  ""@bvhealthcare: $qcor questcor increases quarterly cash dividend 20 percent.. http://stks.co/goan""",0.576
$pay 2nd time test of the 21.20-30 b/o zone.  still not breaking out.  moved my stop up to 20.80.,0.093
$spy  still wants higher i think.,0.448
$bbry lets see 14+ today,0.302
$dcth near hod,0.366
$msft sql server revenue grew double-digit with sql server premium revenue growing over 30% http://stks.co/ir2f,0.454
$gte long at 7.44,0.732
$dara breaking out,0.427
$tsla gyrating @ s1 above gap. keeping an eye on s2 http://stks.co/jqfb,0.346
"$cnp sell short position on cnp,...closed for profit $ 59,367.00 (7.75%) http://stks.co/ghjc",0.155
$bbry actually lost .03c per share if u incl vz as no debt and 3.1 in cash.,-0.238
$bbry nice bounce,0.296
"$dnn picked some up, like this going into 2014",0.653
$nugt gold above 1400...wow,0.424
$bbry ready for take off!,0.472
$volc this stock has a very very very very very high probability of rallying tomorrow and/or early next week,0.72
"$yoku high volume blast off friday, goes higher  http://stks.co/qsal",0.565
$aapl key is to breakout above 460 on solid volume or else it's a no trade for now,0.123
$spy bumping its head on declining daily 8ma as overhead resistance. then the big brother 50ma just above that.,-0.35
"long position on $ip,....scaling up http://stks.co/siln",0.662
$fb churning in high volume @ ipo price. lot's of sellers trying to get out. might take a while here to consolidate before moving higher.,-0.215
the boeing company (nyse:ba) bearish trader bets $550k that stock will sell off 9.79% by july expiry $ba http://stks.co/tcse,-0.493
"$txrh reports q1 eps of $0.37 versus the estimated $0.35, beating by $0.02. eps were up 19% from the same quarter last year.",0.365
"$aapl is now beaten down, hated, etc. / hhhmm opposite of 700> what happens next?",-0.303
@asdfllc. nice pop today. told ya we would be green haha. funny you bring that up. i'm actually working on a story about $nok at the moment,0.404
$amcn pushing highs,0.543
@pierrules: $siri long!!,0.759
$fb shifting on the 15 minute here - suspect to take highs,0.442
$amrn you can many times find top and bottoms when shorts start rejoicing or bulls start rejoicing. currently it is the shorts rejoicing,-0.54
"$cndo 21% short float, shorts likely to take profits into close",-0.327
$rnn staying above the open a very good sign!!!,0.551
watch these bancos.they're holding up relatively well compared to the broad market $xlf $bac $gs $c <--large c buying in $bac in backburner,0.394
$cat is hangin on my a thread. 1click away from a cliff drop.. needs follow through (or snap-back on the vix),-0.337
$prgn a bottom right here?,0.041
"$spy less than 0.2% down and people are calling it bearish. some heading for exits already. maybe 1% down will be ""the crash""? disturbing!",-0.148
"$p bull flag on the daily, earnings on the table tomorrow +/-12 move.will straddle this one into earnings..lots of vol guaranteed here",0.335
$aapl action into the close indicates that $aapl probably hit a near term high.  momentum slowing after a huge run.,0.124
$v a potential bearish shark pattern if point b $226 to be taken out. http://stks.co/i0ggh,-0.326
$amzn trailing 12 months operating cash flow rose 48% to $4.98 billion & free cash flow decreased 63% to $388 million http://stks.co/c06zg,-0.009
"$rnn day traders flushed out, it should start going up slowly from now on .",0.411
@chessnwine: $iwm 30-minute chart. small caps threatening descending triangle breakdown under $110.20.  http://stks.co/r0kkm,-0.382
$yelp this goes green and so many shorts are toast!,0.463
rt @tomhend777 $mu needs to hold here -broken for now. needs big flush. still not technically oversold so now big bounce yet,-0.046
$amrn got sell signal 7/1/14 still in force with target below 1.50,-0.431
"$slv pos, been saying it for 2 years. going lower. forget about it or go short.",-0.631
new recommendation from carl kirst of bmo capital markets for $wmb is buy.price target is $62:http://stks.co/t0s0r,0.566
$dnkn $kkd $dpz $loco inside week buy triggers. http://stks.co/h0vv8  http://stks.co/r0ebn,0.485
"$rig whos ever pushing this is crazy, get ready for suspended dividend (turning into growth stock) blow out earnings, and major buyback, lol",-0.023
$aapl nice rsi 33 bounce at 9:58,0.291
"$axdx i got bored, and took my proprietary profit exit. i didn't like the option liquidity and lousy spreads.",-0.334
$nflx easy pop to 500$ by end of feb.. then steady as she goes for 600 into second earnings report..800$ year end no matter what,0.577
$iwm relative weakness is pretty apparent but the short boat is getting full on this one. i prefer the boat closer to empty.,-0.262
@saltwaternurse $ino can test 10 again in next few days. time to take some profits here. or hedge with puts.,-0.169
"@stockoptionexpert: $mat - 6%, big trader added 10000 april put contracts 3 days ago  http://stks.co/c1ols",-0.576
$fti breakout today after reporting earnings last night,0.554
"$ko had missed earnings expectations for the last two quarters, so todayâ€™s strong results came as a major surprise http://stks.co/d0rhf",0.338
$coh gaining momentum! nice buy signals here! long over $35.92 http://stks.co/t0tah,0.527
$baba may take a few days wks months watch what happened to $fb $twtr after they ipo. mrkt needs to washout. to hunt well need 2 wait stalk.,-0.055
$rad all my charts are flashing oversold.,-0.011
$rsol bought 3500 shares today!,0.738
$aria this is the reason why shorts don't show up...long steady small climbs. the best way to accrue value. imo,0.484
$camt looks like might break down. i'm out,-0.516
$athn seems like a good short setup. stop above the 50 day. no position.,-0.338
$kior my god. market getting crushed today. gotta hold if anything g should recover some tomorrow i imagine.,-0.302
$aapl  downgrade is bias. this stock is a buy.,0.498
linkedin revenue up nearly 50% http://stks.co/g1f4t  $lnkd,0.423
$plug bear raid,-0.48
$gpro down 25% since tue morning.,-0.527
$rost ross stores upgraded to outperform at rbc capital markets http://stks.co/j0q9t,0.565
$aria bounce player! long above $6.17 http://stks.co/q0wff,0.383
"$tsla looking good..i'd love to see a basing action here, letting the rsi take a breather. http://stks.co/g1t7c",0.362
$rad i would consider this opportunity to add my position because the company is on the right track they are still improving sales...,0.401
$gtat will re-enter short on bounce...,-0.46
$trow ascending triangle gives a bullish bias to this chart. breakout above 84 will be positive http://stks.co/g0ls5,0.544
$aegn macd and adx are crossing over the signal lines! long setup http://stks.co/qzzx,0.569
what #stocks large players are selling http://stks.co/t0vel $crox $gogo $ino,-0.507
$rnn more bleeding monday.,-0.465
$plug closed short position. small gain. not interested in options expiring worthless,0.143
$ubnt still having some trouble at the resistance line. should resolve soon.@cheri1 @strattonite   http://stks.co/c0su4,0.071
$twtr the best scenario going forward is this stock slowly falling everyday....which is quite probable...,-0.264
$mxwl oh snap. just went long again. lt,0.691
$hrl ready to pop! http://stks.co/s0ny4,0.336
just stumbled upon this amazing chart - $ofix - holy guac. super overbought. http://stks.co/e0px1,-0.497
$fb i guess they want it down look at the those sell orders,-0.465
@acinvestorblog: $spy eod run :),0.391
phew! so far good $bbry did not break 10.40 coz i was told that is key support level.,0.145
$oil slid to a four-year low after #opec kept its oil production unchanged  http://stks.co/a1ix4 $uso $wti $brent,-0.369
$cdti bounce here on support or h&s setup this area is very important for bulls to not lose http://stks.co/c0mf3,0.374
$lnkd daily phase 2 retest - price experiencing early rejection. can it retest? http://stks.co/t04xx,-0.228
